"Data Source","World Development Indicators",

"Last Updated Date","2019-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4088378","4385530","4783815","5224453","5640432","5994231","6204793","6335645","6434374","6558974","6743847","7045761","7425935","7848897","8268559","8656453","8858705","9020386","9176389","9373358","9642780","10076867","10604545","11201642","11829197","12458901","13027576","13572430","14062398",
"Angola","AGO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4780012","4930995","5096348","5278266","5461908","5654126","5836430","6032722","6242290","6464826","6697632","6923552","7167251","7421114","7689558","7973284","8254060","8554729","8877091","9219902","9575303","9926995","10296516","10680348","11077613","11487508","11903178","12329217","12774775",
"Albania","ALB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1424381","1446517","1438937","1414643","1391332","1362585","1357244","1373594","1367356","1356347","1351709","1338629","1338094","1319856","1301290","1282212","1266919","1250632","1234727","1226713","1225744","1271832","1325041","1249102","1275842","1333035","1332087","1333543","1331963",
"Andorra","AND","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61450676","63454516","64684981","67018673","69624951","72372156","74214448","76085270","77889915","80818700","83161185","85147067","87241603","90134654","93071472","96128853","99325211","103174284","106532004","110216672","114182862","117419936","120641525","124031287","126253041","128170281","130526265","133252621","136196591",
"United Arab Emirates","ARE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","920269","988745","1065291","1149834","1234678","1320281","1386831","1464145","1552066","1650128","1760240","1895652","2046730","2243092","2529419","2934437","3476223","4159570","4908180","5611764","6182808","6463816","6603315","6646962","6667896","6719149","6742584","6808447","6885110",
"Argentina","ARG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13363675","13738127","14144568","14498096","14854589","15078064","15419131","15797914","16115100","16320983","16556585","16742139","16792284","17136400","17490302","17636710","17941735","17960980","17983101","18331490","18325397","18651342","18851785","18999858","19067932","19407075","19731973","20060888","20271832",
"Armenia","ARM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1464012","1449790","1422551","1387775","1352832","1323038","1304928","1293933","1288700","1286415","1284759","1289580","1294016","1298246","1302843","1307907","1309935","1312540","1311213","1324772","1379810","1404241","1402002","1416006","1414631","1402093","1379508","1381401","1387336",
"American Samoa","ASM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8498142","8542463","8616597","8651198","8820144","9025057","9153763","9220762","9322328","9416518","9603084","9789822","9946875","10126911","10247263","10556752","10801453","10969714","11259265","11494997","11692524","11859724","12021471","12195829","12339232","12572548","12730726","12978569","13141429",
"Austria","AUT","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3568280","3617487","3696441","3731731","3827586","3862031","3834266","3823947","3859067","3888031","3899049","3886923","3972924","3992277","3891230","4017205","4074394","4162720","4209485","4256849","4276558","4305227","4352343","4393586","4412078","4460834","4535122","4561842","4576896",
"Azerbaijan","AZE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2890978","2930263","3012170","3103370","3188252","3256150","3303611","3347118","3389239","3439577","3498495","3567680","3637702","3711383","3794517","3888448","3978833","4077049","4218774","4358813","4454608","4542765","4626294","4700437","4788222","4873418","4966648","5032491","5058498",
"Burundi","BDI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2590439","2600389","2613454","2627550","2639798","2649401","2652108","2651619","2653188","2672047","2705169","2789552","2889586","3001752","3120547","3241429","3359159","3479307","3600863","3723740","3847777","3946267","4049101","4155039","4262439","4405026","4552740","4704153","4850076",
"Belgium","BEL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3948867","4037587","4076552","4100442","4163102","4194918","4197481","4218297","4255095","4367000","4411179","4307572","4350412","4381675","4465111","4616055","4634829","4722700","4766098","4788134","4887403","4867238","4902937","4958437","4984468","5000910","5004628","5033855","5039937",
"Benin","BEN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1954174","2022257","2096810","2177716","2260590","2343986","2415916","2488738","2563039","2639937","2720193","2800140","2884087","2983550","3084631","3186622","3279880","3374023","3469779","3568163","3670008","3771584","3890092","4013750","4142809","4278146","4414814","4557265","4707235",
"Burkina Faso","BFA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3864751","3962804","4043669","4129868","4221771","4318163","4403354","4496091","4594103","4695976","4801766","4896171","4996713","5101765","5211836","5325133","5428597","5544104","5662809","5783757","5906179","6017181","6131592","6246654","6360009","6577016","6797717","7025829","7245640",
"Bangladesh","BGD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33713963","34726352","35796960","36927445","38121420","39381346","40590349","41864720","43188120","44541487","45903116","47145093","48411338","49676894","50913825","52110113","53068366","54010480","54932503","55858816","56806765","57878205","58959056","60053264","61162861","62283352","63385490","67144424","68371792",
"Bulgaria","BGR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4026285","3994532","3968791","3900299","3848551","3788970","3728446","3661232","3587909","3513846","3437082","3508796","3419546","3350106","3392787","3334372","3441995","3517645","3583233","3509649","3426004","3343906","3353792","3378787","3370952","3344317","3273207","3365570","3328412",
"Bahrain","BHR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","217020","222200","229878","238525","247929","257703","264009","271343","280117","291225","305447","325856","349795","378724","413255","453394","501660","556591","614088","668209","714127","727043","739876","747722","758641","777896","817059","868628","923964",
"Bahamas, The","BHS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124621","129303","133540","137465","141329","144472","146787","149288","152069","154934","157725","162237","166838","171387","176197","181385","185992","190861","195920","201091","206431","209729","213270","216502","219318","221682","224105","226333","228613",
"Bosnia and Herzegovina","BIH","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1762869","1729505","1675986","1612322","1551907","1503241","1476989","1464616","1462386","1465154","1469409","1473382","1480671","1489745","1498892","1514252","1520018","1522018","1520206","1514591","1504449","1481367","1454384","1425442","1395660","1370793","1357060","1350116","1335757",
"Belarus","BLR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4694629","4681986","4687585","4702607","4713314","4722323","4733649","4734388","4739842","4757665","4802605","4839234","4873166","4905033","4935443","4963329","4980424","5006522","5036464","5068039","5093060","5101946","5108375","5112809","5114514","5115089","5101298","5059285","5013698",
"Belize","BLZ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61976","63495","64811","66047","67469","69721","72890","76795","81027","85316","89507","93644","97759","101927","106262","110810","116253","121857","127603","133467","139424","145964","152558","155782","158928","161958","167442","172532","177787",
"Bermuda","BMU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2761562","2843644","2918117","3004625","3095776","3190056","3282458","3380656","3471507","3561902","3654062","3765792","3881227","3999675","4120091","4241942","4364923","4393969","4517978","4621930","4723888","4821396","4732856","4869312","5121959","4923202","5294390","5194355","5298262",
"Brazil","BRA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59795822","61641400","63491157","65372931","67324043","69353479","69502017","71949516","73919824","76349206","78369438","80306546","82882910","84603972","87190501","89680116","90791555","91948046","93472906","95324977","95228164","95038825","97579385","98865231","99889523","101561405","102471930","104251244","105331119",
"Barbados","BRB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","136707","135240","137896","140012","141870","144217","143548","144421","145050","145535","145887","147152","148250","149248","151529","152272","152814","153330","153742","153928","153645","154174","152246","154186","149716","151086","153096","152762","152314",
"Brunei Darussalam","BRN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110114","113813","117913","122253","126855","131735","136059","140775","145906","151372","157044","160967","164689","168638","172715","176792","179296","181909","184724","187796","191121","194955","198513","201876","205146","208346","210982","213678","216193",
"Bhutan","BTN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200859","199889","198139","196182","194623","193958","198386","204299","211523","219918","229305","241759","255363","269512","283462","296681","307083","316552","325282","333776","332324","330221","325414","335294","333521","351885","359077","365783","372750",
"Botswana","BWA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","434678","453170","471109","488969","507591","527367","544949","563814","584262","595088","604425","628551","653180","678514","704865","732421","762649","783071","803426","822584","802459","875472","939315","996487","1014721","1036783","1060877","1088986","1121700",
"Central African Republic","CAF","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1164246","1193408","1228471","1267006","1307216","1347783","1383166","1417988","1453432","1490065","1528697","1559438","1591252","1625070","1658488","1693317","1722966","1753549","1783302","1809460","1830380","1833698","1830487","1830598","1827425","1829659","1852234","1883073","1923384",
"Canada","CAN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14663381","14738036","14712950","14799796","14930386","15025894","15163155","15403628","15650610","15935185","16190693","16459810","16943415","17344150","17554026","17697310","17912404","18275060","18574625","18709233","18913301","19057229","19243499","19466201","19547421","19661501","19841257","20085274","20282270",
"Central Europe and the Baltics","CEB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52833858","52900048","52883291","52656925","52306519","51955597","51331076","51071583","50911647","50848357","50798429","50657803","49213471","48915273","48864956","48842170","48918333","48845546","48975207","49049292","49266359","48988670","49249055","49294290","49605154","49536778","49455898","49876136","49519123",
"Switzerland","CHE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3811875","3856542","3885656","3909026","3880091","3888068","3930360","3930313","3975083","3997693","3996363","4053841","4092249","4139797","4147733","4171832","4236262","4307785","4409978","4480116","4450003","4539326","4597385","4656463","4742990","4814238","4889889","4919202","4945932",
"Channel Islands","CHI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68110","68500","68835","69162","69600","69777","70060","70659","71513","72436","73019","73476","74053","74437","74675","75467","76170","76998","77873","78773","79579","79499","79924","80409","81113","81793","82463","83156","83739",
"Chile","CHL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5109553","5239725","5388801","5522480","5649670","5793003","5936048","6074229","6193967","6292510","6334588","6359321","6425647","6609265","6817815","7012524","7226067","7432268","7746430","7855279","8037801","8315392","8423162","8556058","8711944","8857101","8989158","9179085","9342409",
"China","CHN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","639943430","648168644","658132789","668969201","679289835","688175365","700455725","709659006","717198752","725253179","734849258","740669268","747357876","754391730","760824124","766360863","770370795","774185350","777399187","779404706","779956733","783018630","785504321","787010207","788179264","788901659","789149173","789899683","788440326",
"Cote d'Ivoire","CIV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4400539","4565303","4740565","4924335","5113094","5300534","5467230","5639126","5809910","5947375","6079701","6166372","6247224","6324932","6402210","6481777","6575708","6673602","6776691","6886216","7001996","7127440","7260941","7401906","7549421","7702672","7847919","8067700","8290805",
"Cameroon","CMR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5232096","5382485","5539906","5706397","5877422","6056275","6227256","6407234","6596997","6796039","7004027","7206798","7418606","7639348","7869154","8111357","8347918","8597560","8660044","8705898","8733356","8992268","9261656","9540729","9830162","10130434","10433040","10748206","11056982",
"Congo, Dem. Rep.","COD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13499249","13992349","14545398","15131639","15693440","16221771","16651293","17062141","17462736","17895729","18380352","18874827","19413767","19995655","20613959","21266404","21594538","21945062","22309863","22680764","23053237","23378053","23709903","24484529","25294095","26148681","27015877","27921049","28792364",
"Congo, Rep.","COG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","898938","926588","955890","987363","1021143","1054971","1088701","1124992","1162238","1202202","1241891","1279482","1318805","1361182","1405968","1453045","1504934","1562068","1619506","1676485","1731624","1775220","1816707","1857497","1898389","1942830","1993459","2045481","2101890",
"Colombia","COL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14109316","14499190","14922688","15317427","15777605","16254606","16696245","17190433","17660257","18048174","18572401","19065142","19510431","20110296","20130091","20348859","20463758","20577194","21125715","22382609","23047971","23647539","24316423","24540565","24937270","25482072","25818999","26202557","26734981",
"Comoros","COM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92545","95596","98379","101498","105049","108421","111986","115461","119174","123006","126650","130526","134577","138816","143256","147847","152442","157358","162521","167817","173315","178769","184449","190298","196424","202781","208937","215326","221819",
"Cabo Verde","CPV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112363","115846","119920","124414","129060","133695","138032","142228","146370","150646","155179","160538","166104","171892","177849","183954","190381","196842","203300","209709","216034","222152","228445","234774","240970","246930","252738","258288","263790",
"Costa Rica","CRI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1182657","1212766","1230638","1284768","1334489","1399845","1396388","1495195","1581323","1618881","1631460","1738715","1774636","1821741","1832981","1944576","1978401","2047384","2077851","2098576","2125653","2112227","2281634","2304768","2331066","2326233","2263027","2327598","2359814",
"Caribbean small states","CSS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2380127","2423421","2469044","2511398","2557720","2589267","2618537","2642612","2663627","2692614","2719551","2751707","2784131","2828240","2879274","2927015","2968196","3006443","3045520","3077460","3105620","3138619","3187054","3249791","3294819","3328654","3382979","3419023","3447200",
